N,Container capacities,Available containers,Number of periods,Alpha,Returnable?,Initial inventory,,,,,,,,
1000,"[210,1320,1760,1920]","[10500,460,79000,55000]",14,0.01,"[True,True,False,False]","[2,0,1,1],[2,0,1,0],[0,0,0,1],[0,1,0,1][0,0,0,1][0,0,1,0][1,1,0,1][0,0,1,0][0,1,0,0][1,2,1,2][2,1,0,0][0,0,0,1][2,1,2,0][0,0,1,0][1,0,0,1][1,1,2,0][0,0,1,0][1,0,0,0][0,0,2,1][1,0,0,1][1,1,0,0][1,1,2,0][0,0,1,0][1,0,1,0][0,0,1,0][0,1,0,1][0,0,0,1][0,4,0,1][0,0,0,1][0,1,0,0][2,0,2,0][0,0,0,1][0,0,0,1][1,1,0,1][0,1,0,0][0,0,1,0][1,0,2,1][0,1,0,0][0,0,1,0][0,0,2,1][1,1,0,0][0,0,0,1][1,1,1,0][0,0,0,1][0,1,0,0][1,1,3,0][0,1,0,0][0,0,1,0][3,0,1,1][1,1,0,0][0,1,0,0][1,2,0,1][0,0,1,0][0,0,1,0][0,0,1,0][0,1,0,0][0,0,0,1][0,1,1,0][0,1,0,0][0,0,0,1][0,0,2,0][0,1,0,0][0,1,0,0][2,0,2,0][0,0,0,1][0,0,0,1][0,2,1,1][0,0,1,0][0,1,0,0][3,0,1,2][1,1,0,0][0,1,0,0][0,0,0,3][0,1,0,1][0,1,0,0][3,1,0,1][1,1,0,0][0,1,0,0][0,2,0,1][0,0,1,1][0,0,1,0][0,0,0,1][0,0,1,0][0,0,1,0][2,2,1,0][0,0,0,1][0,0,0,1][0,1,1,0][1,0,1,0][0,0,0,1][2,0,0,1][1,0,0,1][0,0,0,1][1,0,2,1][1,1,0,0][0,0,0,1][0,1,0,0][0,0,1,0][1,0,1,0][3,1,2,1][0,0,1,0][0,0,0,1][1,0,1,1][1,1,0,0][0,0,1,0][1,2,0,0][0,1,0,0][1,0,0,0][1,0,1,1][0,0,0,1][0,0,0,1][1,1,1,1][0,0,0,1][0,0,1,0][1,1,1,1][0,1,0,0][0,0,0,1][1,1,0,1][0,0,0,1][0,1,0,0][0,0,0,2][0,0,0,1][0,0,1,0][0,1,1,1][2,0,0,0][1,0,0,0][1,1,1,0][0,0,1,0][0,1,0,0][2,0,1,1][0,0,1,0][0,0,0,1][0,2,0,1][1,0,0,1][0,0,1,0][1,0,1,1][0,1,0,0][1,0,0,0][2,0,1,0][0,0,0,1][0,1,0,0][0,0,0,2][0,1,0,0][0,0,1,0][3,2,0,0][0,1,0,0][0,0,0,1][0,1,1,1][0,1,0,0][0,0,1,0][0,0,2,0][0,0,0,1][0,0,0,1][0,0,3,0][0,0,0,1][1,0,0,0][1,0,1,1][0,0,1,0][0,0,1,0][2,0,0,1][0,1,0,0][1,0,0,0][1,0,1,1][0,0,0,1][0,0,1,0][0,2,0,1][0,1,0,0][0,1,0,0][0,1,0,1][1,1,0,0][0,0,1,0][1,1,1,1][0,1,0,0][0,0,0,1][1,0,0,2][0,0,0,1][1,0,1,0][0,0,1,1][1,0,0,1][0,1,0,0][0,1,2,0][0,2,0,0][0,1,0,0][0,0,1,1][0,1,0,0][1,0,0,0][1,0,1,1][0,0,0,1][0,1,0,0][0,0,1,0][0,0,0,1][0,1,0,0][1,0,1,1][0,0,1,0][0,1,0,0][0,0,1,1][0,1,0,0][1,0,0,0][1,2,0,1][1,2,0,0][0,1,0,0][3,1,0,1][0,0,1,0][0,0,1,0][2,1,0,1][1,0,0,1][0,0,1,0][1,1,2,1][0,0,1,0][0,1,0,0][0,0,1,1][1,0,1,0][0,0,1,0][0,2,1,0][0,0,1,0][0,0,1,0][0,1,0,2][0,1,0,0][0,1,0,0][0,1,0,1][0,0,1,0][0,0,1,0][2,1,2,0][0,0,1,0][0,0,0,1][0,1,1,0][0,0,0,1][1,0,0,0][2,0,2,0][0,1,0,0][0,0,1,0][4,1,0,2][0,0,0,1][1,0,0,0][2,0,1,1][0,1,0,0][1,0,1,0][0,1,1,0][0,0,1,0][1,0,0,0][1,0,2,0][1,0,0,1][0,0,0,1][0,0,2,2][0,0,0,1][0,0,1,0][0,0,0,2][2,0,1,0][1,0,0,1][1,1,1,1][0,1,0,0][1,0,0,0][0,1,0,0][0,1,0,0][1,0,1,0][0,0,0,1][0,1,0,0][0,1,0,0][0,0,1,0][0,0,0,1][0,0,1,0][1,0,0,3][0,0,0,1][0,0,1,0][1,0,1,1][0,0,1,0][0,1,0,0][0,0,2,1][0,0,1,0][1,0,0,0][0,0,0,2][1,1,0,0][0,0,1,0][0,2,0,1][0,0,1,0][0,1,0,0][0,0,1,1][2,0,0,2][1,1,0,0][0,1,0,3][0,0,0,1][1,0,0,0][2,0,1,1][3,0,1,0][2,0,1,0][2,3,2,0][1,0,1,0][0,1,0,0][0,0,2,0][0,1,0,0][0,1,0,0][0,2,1,0][0,0,0,1][0,0,1,0][0,0,0,2][0,0,0,1][0,0,0,1][3,2,0,1][1,1,0,0][1,0,0,0][0,1,0,1][2,0,1,0][0,1,0,0][0,1,1,0][0,1,0,0][0,0,0,1][1,1,1,1][0,0,0,1][1,0,0,1][1,2,0,1][0,0,0,1][0,0,1,0][1,0,0,2][0,0,0,1][2,0,0,1][2,0,1,2][0,1,0,0][0,0,0,1][0,0,1,1][0,0,0,1][0,0,1,0][0,0,0,1][0,0,1,0][0,0,0,1][0,1,2,0][0,0,1,0][0,1,0,0][1,2,0,1][0,0,1,0][0,0,0,1][1,0,2,0][1,0,1,0][0,1,0,0][2,0,1,1][0,0,0,1][0,0,1,0][0,0,1,1][0,0,1,0][0,0,0,1][0,1,1,0][0,1,0,0][0,0,1,0][1,1,0,1][0,1,0,0][0,0,0,1][1,2,0,2][0,1,0,0][0,0,1,0][0,1,1,1][0,0,1,0][0,0,0,1][1,1,0,2][0,1,0,0][1,0,0,0][1,1,2,0][0,1,0,0][1,0,1,0][0,1,0,0][0,0,0,1][0,0,0,1][0,2,0,1][0,0,0,1][1,0,1,0][3,1,0,1][0,0,1,0][0,1,0,0][0,1,1,1][0,0,0,1][0,0,1,0][0,0,3,0][1,0,1,0][0,1,0,0][2,0,1,0][0,1,0,0][0,0,1,0][1,1,1,0][2,0,0,0][0,0,1,0][0,2,2,0][2,0,1,0][0,0,1,0][2,2,0,2][0,1,0,0][0,0,0,1][1,2,0,1][0,0,0,1][0,0,0,1][1,1,1,1][0,0,0,1][0,0,0,1][0,0,1,2][1,1,1,0][0,0,1,0][1,0,1,1][0,0,1,0][0,1,0,0][0,0,1,1][0,0,1,0][0,1,0,0][1,2,1,1][0,0,1,0][0,0,0,1][0,1,0,1][0,1,0,0][0,0,1,0][0,1,1,2][0,1,0,0][0,0,0,1][0,0,2,1][0,0,1,0][1,0,0,1][0,1,0,1][0,0,1,0][0,0,0,1][0,0,1,1][0,0,0,1][0,0,0,1][1,1,1,1][0,0,0,1][0,0,1,0][0,1,0,0][0,1,0,0][0,0,0,1][2,0,1,1][0,1,0,0][0,0,1,0][0,1,0,1][1,0,0,0][0,0,1,0][1,2,0,1][0,0,1,0][0,0,1,0][2,1,1,1][1,0,0,1][2,0,1,0][0,0,2,0][0,1,0,0][0,0,0,1][0,0,1,1][1,1,1,0][2,0,0,0][0,0,0,2][0,1,0,0][0,1,0,0][0,0,1,0][0,0,1,0][0,0,1,0][2,0,1,1][0,1,0,0][0,0,0,1][2,1,1,0][1,1,0,0][0,1,0,0][5,0,1,2][1,1,0,0][1,0,0,0][2,0,1,1][2,0,1,0][0,0,1,0][0,1,1,2][0,0,0,1][0,1,0,0][0,0,0,2][0,0,0,1][0,1,0,0][0,0,1,2][0,0,0,1][1,0,0,0][0,0,1,1][0,0,0,1][0,0,1,0][1,3,0,0][1,0,1,0][0,0,1,0][1,1,1,0][0,0,1,0][1,1,0,0][0,0,1,1][0,0,1,0][0,0,1,0][0,1,1,0][0,0,1,0][0,0,1,0][0,1,2,1][0,0,0,1][0,0,1,0][2,1,0,1][1,1,0,0][0,0,0,1][1,3,0,1][0,0,1,0][1,0,0,0][1,2,1,0][0,1,0,0][0,0,1,0][0,0,1,2][0,1,0,0][0,1,0,0][1,0,1,1][0,0,0,1][0,0,1,0][0,0,1,0][0,1,0,0][0,0,1,0][1,1,1,1][0,0,0,1][0,0,1,0][1,0,3,0][1,1,0,0][0,1,0,0][0,0,1,0][0,0,0,1][0,0,0,1][0,0,2,1][1,0,1,0][0,0,1,0][0,0,1,1][1,1,0,0][1,0,0,1][1,3,1,1][1,1,0,0][0,0,1,0][1,1,1,1][0,0,1,0][0,0,1,0][2,0,1,1][0,0,0,1][0,0,0,1][0,0,1,0][1,1,0,0][0,1,0,0][0,0,1,1][0,0,1,0][0,0,1,0][0,1,0,1][2,1,0,0][0,0,1,0][1,1,1,2][0,0,0,1][0,1,0,0][0,0,0,2][1,0,0,1][2,0,1,0][1,2,0,2][0,0,0,1][0,0,0,1][0,0,2,1][0,1,0,0][0,0,1,0][0,2,0,0][0,1,0,0][0,1,0,0][1,0,1,1][0,0,1,0][0,1,0,0][0,0,1,1][0,0,0,1][0,0,1,0][4,2,0,0][0,1,0,0][0,0,1,0][0,0,0,1][1,0,0,0][0,1,0,0][1,1,0,1][3,0,0,0][0,0,1,0][3,0,1,0][1,0,1,0][0,1,0,0][1,1,1,1][0,0,1,0][1,0,0,0][2,3,0,1][0,1,0,0][0,0,0,1][1,0,1,1][0,0,0,1][0,0,1,0][0,0,2,2][0,0,0,1][0,0,0,1][0,0,1,1][0,0,0,1][0,0,0,1][1,0,2,1][0,0,1,0][0,0,0,1][1,1,1,1][0,1,1,0][0,1,0,0][0,1,0,1][1,0,0,1][0,0,1,0][1,1,0,1][0,0,0,1][0,0,0,1][0,0,3,2][0,0,1,0][1,0,0,0][0,0,1,1][1,0,0,1][0,0,1,0][2,1,1,0][0,0,1,0][0,1,0,0][0,1,1,0][0,0,1,0][0,1,0,0][1,1,3,0][0,0,0,1][1,0,0,0][1,1,0,1][1,1,1,0][0,0,0,1][2,1,1,1][0,1,0,0][1,0,0,0][1,0,2,0][2,1,0,0][0,0,1,0][3,2,0,1][1,0,1,0][0,1,0,0][0,2,0,1][0,0,1,0][0,0,0,1][1,0,0,2][0,0,0,1][0,0,0,1][2,1,1,0][0,0,0,2][0,0,1,0][2,2,0,0][2,0,0,0][0,0,0,1][0,1,0,0][1,1,0,0][0,0,0,1][1,0,3,0][1,0,1,0][0,1,0,0][0,1,0,0][0,0,0,1][0,1,0,0][0,1,2,0][0,0,1,0][0,1,0,0][0,0,0,2][1,0,1,0][0,0,1,0][1,0,1,1][3,0,0,0][1,0,0,0][1,0,0,2][0,0,0,1][0,1,0,0][1,0,2,1][0,0,1,0][1,0,0,0][0,0,1,1][0,0,1,0][0,0,1,0][1,1,2,0][2,0,0,0][1,0,0,0][1,1,1,1][0,0,0,1][0,0,0,1][0,1,0,2][0,0,0,1][0,1,0,0][1,0,1,0][2,0,1,0][0,1,0,0][0,1,1,0][0,1,0,0][0,0,0,1][3,0,2,0][0,0,1,0][1,1,0,0][2,0,0,1][1,0,1,0][0,0,0,1][0,1,1,0][0,0,0,1][0,0,1,0][0,1,1,1][0,1,0,0][0,0,1,0][1,2,1,0][0,1,0,0][0,0,1,0][0,1,0,0][0,0,0,1][0,1,0,0][1,0,2,1][0,0,1,1][0,0,0,1][0,0,2,1][2,0,0,0][0,0,1,0][0,0,1,1][0,0,0,1][0,0,1,0][0,3,0,1][0,0,0,1][0,0,1,0][0,0,1,1][1,1,0,0][0,1,0,0][0,1,0,2][1,0,1,0][0,1,0,0][1,1,0,1][0,0,0,1][0,0,1,0][2,1,1,1][1,0,0,1][0,0,0,1][0,0,1,1][0,1,0,0][1,0,1,0][0,0,0,1][2,1,0,0][0,0,0,1][0,0,2,0][0,0,1,0][0,0,1,0][3,0,2,0][0,0,0,1][1,0,0,0][0,1,2,0][1,1,0,0][0,0,1,0][1,1,1,1][1,0,1,0][1,0,0,0][0,1,0,1][0,0,1,0][0,1,0,0][1,1,2,0][0,1,0,0][1,0,0,0][0,1,1,1][1,0,0,1][0,0,1,0][1,1,2,1][0,0,0,1][0,0,1,0][0,3,1,0][1,0,1,0][0,1,0,0][0,2,0,1][0,0,0,1][0,1,0,0][1,2,1,0][1,0,0,1][1,0,1,0][4,1,1,0][0,0,1,0][0,0,0,1][2,0,0,2][0,0,0,1][0,0,0,1][3,2,1,1][0,1,0,0][1,0,0,0][2,2,0,0][0,1,0,0][0,1,0,0][1,1,3,0][0,0,1,0][0,0,0,1][0,1,2,0][0,1,0,0][0,0,1,0][1,2,0,0][0,0,1,0][0,0,0,1][1,2,0,1][0,1,0,0][0,1,0,0][0,0,0,2][0,0,1,0][0,0,0,1][1,1,1,0][0,1,1,0][0,1,0,0][2,0,0,1][1,0,1,0][0,0,1,0][0,2,0,1][1,0,0,1][0,0,1,0][1,0,2,1][0,0,1,0][0,0,0,1][0,0,1,0][0,1,0,0][0,0,0,1][0,2,1,0][0,1,0,0][0,1,0,0][0,1,2,0][0,1,0,0][0,0,1,0][1,1,2,0][0,1,0,0][0,0,1,0][0,1,2,0][0,0,1,0][0,0,0,1][1,1,2,1][1,0,0,1][0,1,0,0][1,0,1,1][1,1,0,0][0,0,1,0][2,2,1,0][0,1,0,0][1,0,0,0][0,1,0,0][0,0,1,0][0,0,0,1][0,1,1,1][1,0,0,0][0,1,0,0][0,0,1,0][0,0,0,1][0,0,0,1][0,1,0,0][0,0,0,1][0,0,0,1][2,0,1,1][0,0,1,0][0,0,0,1][1,2,0,1][0,0,1,0][0,1,0,0][1,0,2,1][0,1,0,0][0,0,1,0][1,2,2,1][0,0,0,1][0,0,0,1][1,0,2,0][1,1,0,1][0,0,1,0][0,1,1,1][0,1,0,0][0,0,0,1][0,1,1,0][0,0,1,0][0,0,0,1][0,1,2,0][0,1,0,0][1,0,0,0][1,0,1,1][0,1,0,0][0,0,1,0][2,1,1,1][0,1,0,0][0,0,0,1][1,1,0,1][0,0,0,1][0,0,0,1][2,0,0,1][0,0,0,1][0,0,0,1][1,2,0,1][0,1,0,0][0,1,0,0][2,0,1,1][1,0,1,0][0,1,0,0][2,2,1,0][2,1,0,0][0,0,0,1][2,1,2,0][0,0,0,1][0,0,1,0][0,0,1,0][0,0,0,1][0,1,0,0][1,0,2,2][0,1,0,0][0,0,0,1][0,0,1,1][1,1,0,0][1,0,1,0][1,0,1,1][0,1,0,0][0,0,0,1][0,1,1,0][0,0,0,1][0,0,0,1][1,0,2,1][0,0,1,0][0,0,1,0][0,0,0,1][0,1,0,0][0,0,0,1][1,0,2,0][0,0,1,0][1,0,0,0][0,0,1,1][1,1,0,1][0,0,1,0][1,1,1,1][0,0,0,1][1,0,0,0][1,1,1,1][1,0,1,0][0,1,0,0][0,0,0,2][0,0,0,1][1,0,0,0][0,1,1,0][0,2,0,0][1,1,0,0][2,0,3,0][2,0,0,0][1,0,0,0][2,0,1,1][0,0,0,1][0,0,1,0][2,0,1,1][0,0,0,1][0,0,0,1][1,2,0,1][0,1,0,0][0,0,1,0][0,0,1,0][0,0,1,0][0,0,0,1][1,0,0,1][2,0,0,0][1,0,0,1][0,1,1,0][1,0,0,1][0,1,0,0][3,1,1,1][0,0,0,1][0,0,1,0][1,1,0,2][0,0,0,1][0,0,0,1][0,1,1,0][0,0,1,0][0,0,0,1][2,2,0,2][0,0,1,0][1,0,0,0][0,1,1,1][1,0,0,1][0,0,0,1][0,0,1,2][0,0,1,0][0,0,0,1][0,0,1,1][0,0,2,0][1,0,0,1][0,0,1,1][0,0,0,1][1,0,0,0][0,0,0,2][0,1,0,0][0,0,0,1][0,2,2,0][1,0,0,0][0,0,1,0][1,0,0,1][1,0,1,0][0,1,0,0][2,1,0,1][1,1,0,0][0,1,0,0][0,1,1,0][0,1,1,0][0,0,0,1][2,2,2,0][0,0,0,1][0,1,0,0][0,1,0,1][0,0,1,0][0,0,0,1][3,0,0,2][1,1,0,0][0,0,0,1][1,1,2,0][0,0,1,0][0,0,1,0][1,1,2,0][0,0,0,1][0,1,0,0][1,0,0,1][0,0,0,1][0,0,0,1][1,0,1,2][10043,14,78480,54515]",,,,,,,,
,,,,,,,,,,,,,,
Customer,Demand1,Demand2,Demand3,Demand4,Demand5,Demand6,Demand7,Demand8,Demand9,Demand10,Demand11,Demand12,Demand13,Demand14
0,3886,1315,1109,982,1242,10,3314,928,905,1102,1444,0,4284,1173
1,987,991,0,430,300,0,51,1126,765,0,0,0,0,52
2,380,326,299,186,247,2,458,350,211,128,311,0,407,286
3,2946,3460,3307,2541,2920,0,4147,3023,3147,0,3787,4096,3191,2956
4,510,112,0,223,163,0,310,0,114,150,208,3,392,230
5,177,46,54,86,55,0,158,62,61,54,50,0,181,51
6,2712,1134,857,940,1168,11,3548,1012,1360,744,732,0,2404,1196
