N;Container capacities;Available containers;Number of periods;Alpha;Returnable?;Initial inventory;;;;;;;;
1000;[210,1320,1760,1920];[10500,460,79000,55000];14;0.01;[True,True,False,False];[0,1,1,0],[0,1,0,0],[0,0,1,0],[0,0,1,1][0,1,0,0][0,1,0,0][0,1,0,1][0,1,0,0][0,1,0,0][0,1,0,1][0,1,0,0][0,0,1,0][0,0,0,2][0,0,0,1][0,0,1,0][0,0,2,1][0,0,1,0][0,0,0,1][3,0,2,1][0,1,0,1][0,1,0,0][1,0,1,0][3,0,0,0][0,0,0,1][0,0,2,0][0,0,1,0][0,1,0,0][1,0,1,1][2,0,1,0][1,0,0,0][0,0,0,2][1,1,0,0][1,1,0,0][3,1,1,0][0,0,1,0][0,1,0,0][0,0,0,3][1,1,0,0][0,0,1,0][0,1,0,1][0,0,1,0][0,0,1,0][0,2,1,0][1,0,1,0][0,1,0,0][0,1,1,1][0,0,1,0][0,0,1,0][1,1,1,1][0,0,0,1][0,0,1,0][0,0,1,0][0,1,0,0][0,0,0,1][0,0,2,1][0,0,1,0][0,0,0,1][0,1,0,1][0,1,0,0][1,0,0,0][0,0,1,1][2,0,1,0][0,0,1,0][1,0,1,1][0,0,0,1][1,0,0,0][0,1,0,2][0,0,0,1][0,0,0,1][0,1,1,0][0,1,0,0][1,0,0,0][2,1,0,1][1,0,1,0][0,0,1,0][0,2,1,1][0,0,0,1][1,0,0,0][0,0,1,1][0,0,0,1][1,0,0,1][0,1,2,1][0,0,1,0][0,0,1,0][0,1,1,0][2,1,0,0][0,0,1,0][2,1,1,1][0,0,1,0][0,1,0,0][0,0,1,1][0,1,0,1][0,0,1,0][2,0,2,1][0,0,1,0][0,1,0,0][0,0,0,2][0,0,0,1][0,0,0,1][1,0,2,0][0,0,0,1][1,0,0,0][1,0,0,2][1,0,1,0][0,0,1,0][0,0,1,1][0,1,0,0][1,0,0,0][0,0,1,1][0,1,1,0][0,1,0,0][1,1,1,0][1,0,0,0][1,0,0,0][0,0,0,2][0,1,1,0][0,1,0,0][2,2,0,0][0,0,1,0][0,0,1,0][1,0,1,1][0,0,0,1][0,0,1,0][0,0,2,1][1,0,0,1][0,0,0,1][0,0,1,2][1,0,0,0][0,1,0,0][2,1,0,1][1,0,1,0][1,1,0,0][0,1,0,0][0,0,1,0][0,0,0,1][2,0,0,2][0,0,1,0][0,1,0,0][0,1,1,0][1,2,0,0][0,1,0,0][3,2,0,0][0,1,0,0][0,0,1,0][1,1,0,1][0,1,0,0][0,0,1,0][2,1,1,0][0,0,1,0][0,1,0,0][0,0,2,0][0,0,0,1][0,0,0,1][3,2,1,0][0,0,1,0][1,0,0,0][1,1,0,1][0,0,0,1][0,1,0,0][1,0,0,2][0,1,0,0][0,0,1,0][0,0,1,2][0,0,1,0][0,0,1,0][1,0,2,1][0,0,0,1][0,1,0,0][0,2,0,1][0,0,1,0][0,0,1,0][3,2,1,0][1,1,0,0][0,1,0,0][0,2,0,1][0,1,0,1][0,0,0,1][0,1,0,1][0,0,1,0][0,0,0,1][3,1,0,2][0,1,0,0][0,0,1,0][0,0,1,1][0,0,1,0][1,0,0,0][0,2,0,0][0,0,1,0][0,0,0,1][0,0,0,2][1,0,1,0][0,0,1,0][0,0,1,0][0,0,0,1][2,1,0,0][1,0,2,1][2,0,0,0][0,0,1,0][0,0,1,2][0,2,0,0][0,1,0,0][1,0,2,0][0,0,0,1][0,0,1,0][3,2,0,0][0,0,0,1][2,1,0,0][1,2,0,1][0,1,0,0][1,0,0,0][2,0,1,1][1,1,0,0][0,0,1,0][2,2,0,1][0,1,0,0][0,1,0,0][0,0,0,2][0,0,0,1][1,0,0,1][3,0,4,0][0,0,0,1][0,0,0,1][2,0,0,1][0,0,1,0][0,0,1,0][2,0,0,2][0,0,1,0][0,1,0,0][0,0,0,2][0,0,0,1][0,1,0,0][1,3,0,0][0,1,0,0][0,0,0,1][0,1,0,0][1,1,1,0][0,0,0,1][1,2,0,1][1,0,1,0][0,0,1,0][1,0,2,0][4,1,1,0][0,1,0,0][1,1,0,1][1,0,1,0][0,0,0,1][0,2,1,0][1,1,0,0][0,0,0,1][3,0,0,2][1,0,0,1][0,1,0,0][0,1,1,1][0,0,0,1][0,1,0,0][3,1,2,1][0,1,0,0][0,1,0,0][1,0,1,1][1,1,0,0][0,1,0,0][0,0,2,1][0,0,0,1][0,0,0,1][1,1,2,0][1,0,1,0][0,0,1,0][4,2,1,0][0,0,0,1][0,0,1,0][0,1,1,0][0,0,0,1][0,1,0,0][0,1,1,0][1,0,1,0][0,0,0,1][1,1,0,1][0,1,0,1][1,0,0,1][0,1,0,1][0,0,0,1][0,0,1,0][3,2,1,0][1,0,0,1][1,1,0,0][0,0,1,1][0,0,0,1][1,0,0,0][2,1,0,1][0,0,0,1][0,0,1,0][0,0,0,1][0,0,1,0][1,0,0,0][2,1,0,1][0,0,0,1][0,0,0,1][2,1,1,1][0,0,0,1][0,0,1,0][0,1,2,0][1,1,0,1][0,0,0,1][0,0,1,0][0,0,0,1][0,1,0,0][2,2,1,0][0,1,1,0][2,0,0,1][0,1,1,0][0,0,0,1][0,1,0,0][1,1,1,0][0,0,1,1][0,0,1,0][0,0,2,0][0,0,1,0][0,0,1,0][0,2,0,1][1,1,0,0][0,1,0,0][0,0,3,2][0,0,0,1][0,0,0,1][0,0,1,1][0,1,0,0][1,0,0,1][0,1,1,1][1,0,0,0][0,1,0,0][2,1,2,0][1,0,0,1][0,0,0,1][0,0,1,1][0,0,1,0][0,0,1,0][2,0,1,2][0,0,0,1][0,0,0,1][1,1,1,0][0,0,1,0][0,0,1,0][1,1,0,0][0,0,0,1][0,0,0,1][0,2,0,0][0,0,0,1][0,1,0,0][0,3,0,0][0,0,0,1][0,0,1,0][0,1,1,1][0,0,1,0][1,0,0,0][2,0,2,0][2,0,0,0][0,0,0,1][0,0,3,0][0,1,0,0][0,0,0,1][3,1,0,0][0,0,0,1][1,0,1,0][0,1,2,0][0,0,0,1][1,0,0,0][2,2,1,0][0,1,0,0][0,0,0,1][0,1,1,0][0,0,1,0][0,1,0,0][3,1,1,0][0,1,0,0][0,1,0,0][0,1,2,0][1,0,0,0][1,0,0,0][0,0,1,1][0,0,1,0][1,1,0,0][1,0,1,1][0,0,0,1][0,0,0,1][0,1,2,0][0,0,1,0][0,1,0,0][0,0,0,2][0,0,1,0][1,0,0,0][3,2,1,0][0,0,1,0][1,0,1,0][0,1,1,2][0,1,0,0][0,1,0,0][0,0,1,1][0,0,1,0][2,0,1,0][1,1,0,1][0,0,1,0][0,0,0,1][1,0,2,0][1,1,0,0][0,0,1,0][1,1,2,0][2,0,1,0][0,1,0,0][1,1,2,0][0,1,0,0][2,1,0,0][2,1,1,1][0,0,0,1][1,0,0,0][0,0,1,1][1,0,1,0][0,0,1,0][2,0,1,1][0,1,0,0][0,0,1,0][0,1,1,1][0,0,0,1][0,0,0,1][2,2,2,0][0,0,0,1][1,0,0,0][1,2,0,0][0,1,0,0][0,0,1,0][2,1,0,2][0,0,1,0][0,0,0,1][2,2,0,1][0,0,0,1][0,1,0,0][2,2,1,0][0,1,0,0][0,0,0,1][1,1,1,0][0,0,0,1][0,0,1,0][0,0,0,1][0,0,0,1][0,0,0,1][1,0,1,1][0,0,0,1][2,1,0,0][1,0,0,1][1,0,0,0][0,1,0,0][2,0,2,0][2,1,0,0][0,0,1,0][0,2,1,1][2,0,0,0][0,0,0,1][0,1,0,1][0,0,0,1][0,1,0,0][0,0,2,1][0,1,0,0][1,0,0,0][0,0,0,1][0,0,0,1][3,0,0,0][0,1,0,2][0,0,0,1][0,0,0,1][3,1,0,1][1,1,0,0][0,0,1,0][1,1,1,1][1,0,0,0][1,0,0,0][0,0,0,2][0,0,1,0][0,0,1,0][0,1,0,1][0,0,0,1][0,1,0,0][0,0,0,3][2,0,1,0][0,0,0,1][1,0,1,1][0,1,0,0][1,0,0,0][1,1,2,0][0,0,0,1][1,0,0,1][1,1,0,1][0,0,0,1][0,1,0,0][1,0,1,0][0,0,1,0][0,0,0,1][4,3,1,0][0,0,0,1][0,0,1,0][4,1,1,0][0,0,1,0][0,0,1,0][3,1,0,2][0,0,1,0][0,0,1,0][0,2,0,0][0,0,0,1][0,0,0,1][1,0,1,0][0,0,1,0][0,1,0,0][0,0,1,1][0,0,1,0][0,0,0,1][1,1,1,0][0,0,0,1][0,1,0,0][3,0,1,1][1,0,0,1][0,0,1,0][1,0,2,1][0,1,0,0][1,0,0,0][0,0,1,1][1,0,0,1][0,0,0,1][1,1,0,2][0,1,0,0][0,0,1,0][1,1,0,1][0,1,0,0][0,0,0,1][0,1,0,2][0,0,0,1][0,1,0,0][2,0,1,1][0,0,1,0][0,1,0,0][0,0,0,2][0,0,0,1][0,0,1,0][0,0,0,2][0,0,1,0][0,1,0,0][2,1,1,0][0,0,1,0][0,0,1,0][1,0,2,0][0,0,0,1][0,0,0,1][1,1,0,2][0,0,1,0][1,0,0,0][3,3,0,0][0,0,1,0][1,0,0,1][1,0,1,1][2,1,0,0][0,0,1,0][0,0,2,0][1,0,0,1][0,0,1,0][1,0,1,2][0,0,1,0][0,0,0,1][0,0,0,2][0,0,1,0][0,0,0,1][0,1,0,1][0,1,0,0][0,0,0,1][2,1,1,0][1,1,0,0][0,0,1,0][1,2,1,1][1,0,1,0][0,1,0,0][1,1,0,0][0,1,0,0][0,0,0,1][0,1,3,0][1,0,1,0][0,0,1,0][1,0,0,2][2,0,1,0][0,1,0,0][0,1,0,1][0,1,0,0][1,0,1,0][0,0,1,1][2,1,0,0][0,1,0,0][0,1,0,2][0,1,0,0][0,0,0,1][2,1,0,2][1,0,0,1][0,1,0,0][0,1,0,1][0,1,0,0][0,1,0,0][1,0,1,1][1,0,0,2][1,1,0,0][0,1,2,1][0,0,0,1][1,0,0,0][0,1,0,1][1,0,0,0][2,0,1,0][1,0,0,2][1,0,1,0][1,0,1,0][0,1,0,1][1,0,1,0][0,0,0,1][0,2,0,0][0,1,0,0][0,0,1,0][0,1,0,0][0,0,0,1][0,0,0,1][1,0,1,1][0,0,0,1][0,0,0,1][1,1,1,0][0,0,0,1][0,1,0,0][0,3,1,0][0,1,0,0][0,0,0,1][2,0,2,0][1,0,0,1][1,0,1,0][1,0,1,1][1,0,1,0][1,0,0,0][0,0,1,1][3,0,1,0][0,0,1,0][0,0,1,1][0,1,0,0][0,1,0,0][2,0,1,1][0,0,1,0][0,1,0,0][2,1,1,1][1,0,1,0][0,0,1,0][0,2,0,1][0,0,1,1][0,0,1,0][1,0,1,2][0,0,0,1][1,0,0,0][0,1,1,1][0,1,0,0][0,0,0,1][1,1,1,1][0,0,1,0][0,1,0,0][0,0,2,0][0,1,0,1][0,0,1,0][1,0,0,2][0,0,0,1][0,0,1,0][0,0,0,2][0,1,0,0][0,1,0,0][1,0,2,2][1,0,0,1][0,0,1,0][1,1,1,1][1,0,0,1][0,0,1,0][1,2,0,1][0,0,1,0][0,0,0,1][1,2,1,0][0,0,1,0][0,1,0,0][0,1,1,1][0,1,0,0][0,1,0,0][0,0,0,2][1,1,0,0][1,0,0,0][0,2,0,0][0,0,1,0][0,1,0,0][0,0,1,1][0,0,1,0][0,0,0,1][0,0,1,1][0,0,0,1][0,1,0,0][0,0,2,0][0,1,0,0][0,1,0,0][1,0,1,1][0,0,1,0][1,0,0,0][1,0,1,2][1,1,0,0][0,0,0,1][2,1,0,1][0,1,0,0][0,0,1,0][2,1,0,1][0,1,0,0][0,0,1,0][3,1,0,1][0,1,0,0][1,0,0,0][1,0,2,1][1,1,0,0][0,0,0,1][0,1,1,1][0,0,1,0][0,0,0,1][0,1,2,0][1,1,1,0][0,0,1,0][0,0,1,1][1,0,0,0][0,0,0,1][0,0,2,0][1,1,0,0][2,0,1,0][0,1,2,1][2,0,0,0][0,0,1,0][0,0,2,0][0,0,0,1][0,0,0,1][2,1,1,1][0,0,1,0][0,0,1,0][0,0,1,0][0,0,1,0][0,0,1,0][4,0,3,0][0,1,0,0][0,1,0,0][2,0,1,1][1,0,1,0][1,0,0,1][3,1,0,2][1,0,0,1][0,0,0,1][0,0,0,2][0,0,0,1][1,0,1,0][1,3,1,0][0,0,0,1][0,0,1,0][1,1,0,1][0,0,0,1][0,0,0,1][0,0,2,1][0,1,0,0][0,0,0,1][1,0,1,1][0,0,0,1][0,1,0,0][0,0,0,1][1,1,0,0][0,0,1,0][1,2,1,0][0,0,1,0][1,0,0,0][0,0,3,0][0,0,0,1][0,1,0,0][0,0,2,1][2,0,0,1][0,0,0,1][1,4,0,1][0,0,1,0][0,0,1,0][3,0,1,1][0,0,1,0][0,1,0,0][3,1,0,1][1,0,0,0][0,0,0,1][0,0,3,0][1,1,0,0][0,0,0,1][0,1,0,1][1,0,0,1][0,0,1,0][1,0,0,2][0,1,0,0][0,0,1,0][2,0,1,0][0,0,1,0][1,0,0,0][0,1,1,0][0,0,1,0][0,0,1,0][0,0,2,0][0,0,1,0][0,1,0,0][3,2,1,0][0,0,0,1][0,0,0,1][1,2,0,1][0,0,1,0][1,0,0,0][0,1,0,1][0,0,1,1][0,0,1,0][0,1,0,1][0,0,0,1][1,0,0,0][1,1,0,2][0,1,0,1][0,1,0,0][0,0,1,2][3,0,0,0][1,0,0,0][0,0,2,0][0,0,0,1][2,0,0,1][4,2,0,0][1,0,0,0][0,1,0,0][0,1,2,0][0,0,1,0][0,0,1,0][0,0,1,3][2,0,1,0][0,0,0,1][0,1,0,0][0,2,0,0][3,0,0,0][0,1,0,1][0,1,0,0][0,0,0,1][1,0,1,1][0,0,1,0][1,1,0,0][0,1,0,1][0,0,1,0][0,0,0,1][1,0,2,1][0,1,0,0][0,1,0,0][0,2,1,0][0,0,1,0][0,0,0,1][2,1,1,0][0,0,0,1][0,1,0,0][1,1,1,2][0,0,1,0][0,1,0,0][2,2,0,1][0,0,1,0][1,0,1,0][2,2,2,0][0,1,0,0][0,0,1,0][1,0,1,1][1,0,0,2][1,0,1,0][1,2,1,1][3,0,0,0][0,0,1,0][1,1,0,1][0,0,0,1][0,1,0,0][0,0,0,1][1,0,0,1][0,1,0,0][1,0,1,0][0,0,1,0][0,1,0,0][1,0,0,1][0,0,1,0][0,0,1,0][0,0,1,1][1,0,1,0][1,0,0,1][0,1,0,1][0,0,1,0][0,0,0,1][0,1,1,0][0,1,0,0][0,0,0,1][4,0,2,1][0,0,1,0][0,1,0,0][0,0,1,1][0,0,1,0][0,0,1,0][0,1,1,1][0,1,0,0][0,1,0,0][0,1,0,2][0,1,0,0][1,1,0,0][0,3,0,2][0,0,1,0][1,0,0,0][4,1,1,0][0,1,0,0][0,0,0,1][0,1,1,0][0,0,1,0][0,1,0,0][1,1,1,1][0,1,0,0][0,1,0,0][1,0,3,1][0,0,1,0][0,0,0,1][0,2,1,0][0,1,0,0][0,1,0,0][4,2,1,0][0,0,1,0][1,0,0,0][0,1,0,1][1,1,0,0][0,1,0,0][0,0,1,1][3,0,0,0][0,1,0,0][0,1,0,0][1,0,1,0][0,0,0,1][1,0,0,1][1,0,0,1][1,0,0,1][1,0,1,1][0,1,0,0][0,0,1,0][2,0,2,1][0,1,0,0][0,0,0,1][0,1,0,0][1,0,0,1][0,0,0,1][0,0,2,0][0,0,1,0][0,0,1,0][3,1,0,1][2,0,0,1][1,1,0,0][1,4,0,1][0,1,0,0][0,0,1,0][0,0,1,1][1,0,0,1][1,0,1,0][0,1,2,0][1,1,0,0][0,1,0,0][0,1,1,0][0,0,0,1][0,0,1,0][0,1,0,1][0,0,1,0][0,1,0,0][0,0,0,1][1,0,1,0][0,0,1,0][1,0,0,2][0,0,1,0][0,0,1,0][1,0,1,1][1,0,1,0][0,0,0,1][3,2,1,0][0,0,0,1][0,1,0,0][0,0,1,0][0,0,1,0][0,1,0,0][1,2,1,0][1,0,0,1][1,0,0,0][0,1,1,0][0,0,1,0][0,0,1,0][0,0,0,2][0,1,0,0][0,0,0,1][1,1,2,0][1,0,1,0][0,0,1,0][0,0,1,1][0,0,1,0][1,0,0,0][0,0,2,1][2,0,1,0][0,0,1,0][1,1,0,2][10001,12,78494,54526];;;;;;;;
;;;;;;;;;;;;;;
Customer;Demand1;Demand2;Demand3;Demand4;Demand5;Demand6;Demand7;Demand8;Demand9;Demand10;Demand11;Demand12;Demand13;Demand14
0;2140;1062;0;973;1113;6;2660;1051;1104;1203;1093;4;3855;1200
1;1065;1011;555;1287;397;0;1730;48;666;761;788;0;0;816
2;487;234;136;183;242;2;440;206;154;157;34;0;546;127
3;3497;2370;2720;2451;2482;5341;5499;2341;3180;3530;2259;9354;5816;3002
4;323;0;249;212;295;2;89;266;274;306;224;2;108;277
5;174;0;56;47;47;0;204;60;55;55;63;0;177;66
6;2414;986;953;1027;847;7;0;1041;1131;1482;0;0;3347;968
