N;Container capacities;Available containers;Number of periods;Alpha;Returnable?;Initial inventory;;;;;;;;
20;[210,1320,1760,1920];[10500,460,79000,55000];14;0.01;[True,True,False,False];[2,1,1,0],[1,1,1,0],[0,0,1,0],[1,1,0,1][1,0,0,0][1,0,0,0][0,0,1,0][0,0,1,0][0,0,0,1][0,1,0,1][0,0,1,0][0,1,0,0][0,0,1,1][0,0,0,2][0,1,0,0][0,1,1,1][0,1,0,0][0,0,1,0][1,2,0,1][1,0,1,0][10492,450,78990,54992];;;;;;;;
;;;;;;;;;;;;;;
Customer;Demand1;Demand2;Demand3;Demand4;Demand5;Demand6;Demand7;Demand8;Demand9;Demand10;Demand11;Demand12;Demand13;Demand14
0;3023;927;940;1013;859;0;3632;1137;1017;664;670;8;3772;1033
1;2337;686;696;652;229;0;1288;0;551;632;431;0;0;1808
2;392;210;292;166;294;1;466;0;188;0;283;4;469;240
3;0;1925;3018;2658;1540;5844;3115;2090;0;2571;3032;9704;990;2045
4;185;271;373;0;222;4;354;0;141;55;100;0;431;119
5;164;0;50;51;60;0;225;53;43;62;66;0;107;59
6;0;1182;957;1207;1092;0;1884;1172;1163;1078;1207;0;2356;1259
7;1341;657;630;1202;246;0;1560;0;295;685;642;0;1565;1058
8;387;52;213;0;350;0;546;183;138;102;151;2;452;97
9;2547;2687;1575;2506;3;10086;4589;3874;2374;3224;2073;2448;0;2499
10;358;237;215;0;202;1;291;171;146;75;55;0;267;140
11;218;56;45;78;47;0;245;58;0;58;0;0;79;64
12;3072;1213;1045;988;1184;6;0;1180;993;843;1320;4;3113;0
13;2143;515;773;397;569;0;234;1045;458;0;629;0;511;628
14;491;271;209;125;257;3;521;170;152;142;202;2;481;85
15;4385;2091;2487;3050;1292;11111;1093;2161;3061;0;0;6709;3991;171
16;614;156;202;252;79;0;422;82;0;232;264;0;316;237
17;212;54;0;71;43;0;143;60;38;55;54;0;167;52
18;4284;1046;889;1117;1374;0;2565;1136;1071;929;1597;0;2600;1161
19;0;1438;663;423;545;0;1509;224;555;309;687;0;721;0
