N,Container capacities,Available containers,Number of periods,Alpha,Returnable?,Initial inventory,,,,,,,,
20,"[210,1320,1760,1920]","[10500,460,79000,55000]",14,0.01,"[True,True,False,False]","[0,2,0,1],[0,0,1,0],[0,0,0,1],[1,1,1,0][0,0,1,0][0,1,0,0][0,0,2,0][0,0,0,1][0,1,0,0][1,1,2,1][0,1,0,0][1,0,0,0][2,0,0,1][0,0,1,0][1,1,0,0][2,0,1,2][2,0,1,0][0,1,0,0][2,2,1,0][0,0,1,0][10488,449,78988,54993]",,,,,,,,
,,,,,,,,,,,,,,
Customer,Demand1,Demand2,Demand3,Demand4,Demand5,Demand6,Demand7,Demand8,Demand9,Demand10,Demand11,Demand12,Demand13,Demand14
0,3920,1018,1263,1248,1532,10,3754,0,1052,0,1203,0,2489,1221
1,1003,648,738,1605,721,0,1140,60,214,339,256,0,89,1641
2,362,168,275,170,284,3,509,0,277,147,131,2,389,208
3,3114,2098,3125,2524,0,0,4203,1760,3227,2916,2021,3843,3826,1384
4,0,157,290,360,101,2,301,116,241,180,137,0,472,109
5,149,70,0,56,56,0,167,70,43,47,0,0,0,40
6,3515,1066,1152,1260,1114,6,3284,908,1554,920,1491,4,3645,1143
7,1237,1145,1102,535,384,0,40,858,0,1048,523,0,653,814
8,488,121,0,185,0,2,479,92,268,156,104,0,548,0
9,6415,1685,2883,3095,616,4301,3592,1646,2936,2566,1215,9759,5163,2695
10,229,271,470,100,153,2,395,17,0,256,78,0,455,213
11,197,59,0,77,65,0,190,61,53,79,59,0,153,66
12,0,934,0,1446,1007,0,3465,1151,0,839,1241,6,2189,1117
13,386,178,430,482,498,0,2108,275,650,230,796,0,2144,847
14,426,182,385,183,0,1,456,258,219,209,441,2,474,231
15,4737,2465,2527,2989,2618,8501,3434,2491,2885,2953,1371,5549,2033,1347
16,437,61,407,317,136,3,359,232,285,289,293,0,431,173
17,184,59,59,70,58,0,137,61,0,71,52,0,153,57
18,4327,1153,1039,0,1484,10,2816,983,906,646,1050,11,0,930
19,163,742,907,977,300,0,620,0,621,501,732,0,905,0
